import time: self [us] | cumulative | imported package
import time:       434 |        434 |       django.urls.converters
import time:       348 |        348 |       django.urls.utils
import time:       723 |       1505 |     django.urls.resolvers
import time:       614 |     121971 |   django.urls.base
import time:       366 |        366 |   django.urls.conf
import time:       418 |     122755 | django.urls
import time:       812 |        812 |     logging.handlers
import time:       925 |        925 |     socketserver
import time:      1336 |       3072 |   logging.config
import time:      1755 |       1755 |           email._header_value_parser
import time:       988 |       2743 |         email.headerregistry
import time:       535 |        535 |         email.contentmanager
import time:       973 |       4250 |       email.policy
import time:       825 |        825 |       email.generator
import time:       465 |        465 |         email.mime
import time:       556 |       1021 |       email.mime.base
import time:       374 |        374 |         email.mime.nonmultipart
import time:       367 |        741 |       email.mime.message
import time:       354 |        354 |       email.mime.multipart
import time:       322 |        322 |       email.mime.text
import time:       386 |        386 |       django.core.mail.utils
import time:      2443 |      10338 |     django.core.mail.message
import time:       666 |      11004 |   django.core.mail
import time:       509 |      14584 | django.utils.log
import time:       438 |        438 |       django.template.response
import time:       443 |        443 |       django.utils.decorators
import time:       632 |       1511 |     django.views.generic.base
import time:       461 |        461 |       django.views.generic.detail
import time:       553 |        553 |         django.core.paginator
import time:       490 |       1042 |       django.views.generic.list
import time:       866 |       2368 |     django.views.generic.dates
import time:       896 |        896 |     django.views.generic.edit
import time:       564 |       5338 |   django.views.generic
import time:        29 |       5366 | django.views.generic.base
import time:      1219 |       1219 |     dataclasses
import time:      2743 |       3962 |   pprint
import time:       843 |        843 |   django.utils.timesince
import time:      1455 |       6259 | django.template.defaultfilters
import time:       436 |        436 |   django.views.decorators
import time:       502 |        938 | django.views.decorators.csp
import time:       360 |        360 | django.views.decorators.debug
import time:       421 |        421 |   django.utils.lorem_ipsum
import time:       531 |        531 |   django.template.smartif
import time:      1107 |       2057 | django.template.defaulttags
import time:       593 |        593 | django.contrib.admin.decorators
import time:       987 |        987 |   django.contrib.admin.exceptions
import time:       325 |        325 |         django.contrib.messages.constants
import time:       371 |        371 |         django.contrib.messages.storage
import time:       594 |       1289 |       django.contrib.messages.api
import time:       382 |        382 |         django.contrib.messages.utils
import time:       558 |        940 |       django.contrib.messages.storage.base
import time:       554 |       2781 |     django.contrib.messages
import time:       404 |        404 |             django.middleware
import time:       459 |        459 |             django.utils.cache
import time:       709 |       1571 |           django.middleware.csrf
import time:       537 |        537 |           django.contrib.auth.signals
import time:       614 |       2720 |         django.contrib.auth
import time:       378 |        378 |           django.contrib.auth.templatetags
import time:       674 |        674 |           django.contrib.auth.hashers
import time:       502 |       1553 |         django.contrib.auth.templatetags.auth
import time:       612 |       4884 |       django.contrib.admin.utils
import time:       814 |       5698 |     django.contrib.admin.helpers
import time:       969 |        969 |     django.contrib.admin.widgets
import time:       896 |        896 |     django.contrib.admin.checks
import time:      1153 |       1153 |       django.contrib.admin.templatetags
import time:       739 |       1891 |     django.contrib.admin.templatetags.admin_urls
import time:      3101 |       3101 |     django.views.decorators.csrf
import time:      2346 |      17679 |   django.contrib.admin.options
import time:      1524 |      20189 | django.contrib.admin.filters
import time:       596 |        596 |   django.contrib.admin.actions
import time:       457 |        457 |     django.contrib.admin.views
import time:       559 |       1016 |   django.contrib.admin.views.autocomplete
import time:       368 |        368 |     django.shortcuts
import time:       402 |        769 |   django.contrib.auth.decorators
import time:       455 |        455 |     django.middleware.cache
import time:       356 |        811 |   django.views.decorators.cache
import time:       393 |        393 |   django.views.decorators.common
import time:       489 |        489 |   django.views.i18n
import time:      1375 |       5447 | django.contrib.admin.sites
import time:       168 |        168 |       termios
import time:       465 |        633 |     getpass
import time:       374 |        374 |       django.contrib.contenttypes
import time:       497 |        497 |           django.db.migrations.utils
import time:       452 |        452 |           django.db.migrations.exceptions
import time:       557 |       1506 |         django.db.migrations.migration
import time:       603 |        603 |             django.utils.copy
import time:       730 |        730 |             django.db.migrations.operations.base
import time:       654 |       1986 |           django.db.migrations.operations.fields
import time:      1063 |       1063 |             django.db.migrations.state
import time:      1875 |       2938 |           django.db.migrations.operations.models
import time:       804 |        804 |           django.db.migrations.operations.special
import time:       388 |       6114 |         django.db.migrations.operations
import time:       393 |       8011 |       django.db.migrations
import time:       558 |       8942 |     django.contrib.contenttypes.management
import time:       443 |      10018 |   django.contrib.auth.management
import time:       423 |      10440 | django.contrib.auth.checks
import time:       433 |        433 | django.contrib.contenttypes.checks
import time:       318 |        318 |     django.contrib.staticfiles.utils
import time:       519 |        837 |   django.contrib.staticfiles.finders
import time:       371 |       1207 | django.contrib.staticfiles.checks
import time:       943 |        943 | django.contrib.contenttypes.models
import time:       774 |        774 |   django.contrib.auth.password_validation
import time:      1757 |       1757 |       _sqlite3
import time:       976 |       2732 |     sqlite3.dbapi2
import time:      1368 |       4099 |   sqlite3
import time:       597 |        597 |     django.db.backends.base
import time:       407 |        407 |     django.db.backends.base.validation
import time:       331 |        331 |     django.db.backends.signals
import time:       329 |        329 |     django.utils.asyncio
import time:       919 |       2582 |   django.db.backends.base.base
import time:      1470 |       1470 |       fractions
import time:        44 |         44 |       _statistics
import time:       888 |       2402 |     statistics
import time:       571 |       2972 |   django.db.backends.sqlite3._functions
import time:       384 |        384 |     django.db.backends.base.client
import time:       453 |        836 |   django.db.backends.sqlite3.client
import time:       617 |        617 |         multiprocessing.process
import time:       554 |        554 |         multiprocessing.reduction
import time:       952 |       2122 |       multiprocessing.context
import time:       480 |       2601 |     multiprocessing
import time:       505 |        505 |     django.db.backends.base.creation
import time:       412 |       3517 |   django.db.backends.sqlite3.creation
import time:       465 |        465 |     django.db.backends.base.features
import time:       473 |        937 |   django.db.backends.sqlite3.features
import time:       658 |        658 |         sqlparse.tokens
import time:      1225 |       1225 |         sqlparse.utils
import time:      1136 |       3017 |       sqlparse.sql
import time:       538 |        538 |         sqlparse.exceptions
import time:      1075 |       1613 |       sqlparse.cli
import time:       659 |        659 |         sqlparse.engine.grouping
import time:       737 |        737 |             sqlparse.keywords
import time:       428 |       1165 |           sqlparse.lexer
import time:       410 |        410 |           sqlparse.engine.statement_splitter
import time:       580 |        580 |             sqlparse.filters.others
import time:       396 |        396 |             sqlparse.filters.output
import time:       429 |        429 |             sqlparse.filters.tokens
import time:       660 |        660 |             sqlparse.filters.reindent
import time:       426 |        426 |             sqlparse.filters.right_margin
import time:       363 |        363 |             sqlparse.filters.aligned_indent
import time:       431 |       3281 |           sqlparse.filters
import time:       426 |       5281 |         sqlparse.engine.filter_stack
import time:       439 |       6379 |       sqlparse.engine
import time:       332 |        332 |       sqlparse.formatter
import time:       737 |      12077 |     sqlparse
import time:       606 |        606 |     django.db.backends.base.introspection
import time:       623 |      13305 |   django.db.backends.sqlite3.introspection
import time:       636 |        636 |     django.db.backends.base.operations
import time:       583 |       1218 |   django.db.backends.sqlite3.operations
import time:       560 |        560 |       django.db.backends.ddl_references
import time:       851 |       1411 |     django.db.backends.base.schema
import time:       589 |       2000 |   django.db.backends.sqlite3.schema
import time:      2130 |      34365 | django.contrib.auth.base_user
import time:       468 |        468 | django.contrib.auth.validators
import time:       752 |        752 | django.utils.translation.reloader
import time:       649 |        649 | django.contrib.sessions.base_session
import time:       435 |        435 |   django.contrib.auth.tokens
import time:       365 |        365 |     django.contrib.sites
import time:       358 |        358 |     django.contrib.sites.requests
import time:       740 |       1462 |   django.contrib.sites.shortcuts
import time:      1782 |       3678 | django.contrib.auth.forms
import time:       704 |        704 | django.contrib.contenttypes.fields
import time:       682 |        682 | django.contrib.contenttypes.forms
import time:       639 |        639 | rest_framework.checks
import time:       439 |        439 |       urllib.response
import time:       499 |        937 |     urllib.error
import time:       464 |        464 |     nturl2path
import time:      1883 |       3283 |   urllib.request
import time:       399 |        399 |     django.views.static
import time:       386 |        785 |   django.contrib.staticfiles.views
import time:       372 |        372 |     django.core.handlers
import time:       377 |        377 |       django.core.handlers.exception
import time:       623 |        999 |     django.core.handlers.base
import time:       713 |       2082 |   django.core.handlers.asgi
import time:       504 |        504 |   django.core.handlers.wsgi
import time:       475 |       7127 | django.contrib.staticfiles.handlers
import time:       417 |        417 |   django.core.management.commands
import time:       475 |        475 |     django.core.servers
import time:       460 |        460 |     wsgiref
import time:      1268 |       1268 |       http.server
import time:       790 |        790 |         wsgiref.util
import time:       516 |        516 |         wsgiref.headers
import time:      1176 |       2481 |       wsgiref.handlers
import time:      1153 |       1153 |         _wmi
import time:      1079 |       2231 |       platform
import time:      1018 |       6998 |     wsgiref.simple_server
import time:       503 |        503 |     django.core.wsgi
import time:       710 |       9144 |   django.core.servers.basehttp
import time:       596 |      10156 | django.core.management.commands.runserver
import time:       456 |        456 | django.core.cache.utils
import time:       925 |        925 | django.contrib.admin.views.main
import time:       590 |        590 | django.contrib.admin.templatetags.base
import time:       401 |        401 |   django.contrib.postgres
import time:       353 |        353 |             django.db.backends.postgresql
import time:       164 |        164 |             psycopg
import time:       121 |        121 |             psycopg2
import time:       545 |       1180 |           django.db.backends.postgresql.psycopg_any
import time:       457 |       1637 |         django.contrib.postgres.search
import time:       420 |       2056 |       django.contrib.postgres.lookups
import time:       647 |       2702 |     django.contrib.postgres.fields.array
import time:       515 |       3217 |   django.contrib.postgres.fields
import time:       133 |        133 |   uritemplate
import time:       544 |        544 |     yaml.error
import time:       520 |        520 |     yaml.tokens
import time:       480 |        480 |     yaml.events
import time:       429 |        429 |     yaml.nodes
import time:      4601 |       4601 |       yaml.reader
import time:      4726 |       4726 |       yaml.scanner
import time:       866 |        866 |       yaml.parser
import time:       544 |        544 |       yaml.composer
import time:      1053 |       1053 |       yaml.constructor
import time:      1486 |       1486 |       yaml.resolver
import time:       561 |      13836 |     yaml.loader
import time:       622 |        622 |       yaml.emitter
import time:       404 |        404 |       yaml.serializer
import time:       552 |        552 |       yaml.representer
import time:       495 |       2072 |     yaml.dumper
import time:       854 |        854 |       yaml._yaml
import time:       523 |       1377 |     yaml.cyaml
import time:       635 |      19890 |   yaml
import time:       193 |        193 |   inflection
import time:       484 |        484 |     __future__
import time:      1224 |       1224 |       urllib3.exceptions
import time:       577 |        577 |               urllib3.util.timeout
import time:      1105 |       1682 |             urllib3.util.connection
import time:       742 |        742 |               urllib3.util.util
import time:       201 |        201 |               brotlicffi
import time:       121 |        121 |               brotli
import time:       118 |        118 |               backports
import time:      1960 |       3140 |             urllib3.util.request
import time:       578 |        578 |             urllib3.util.response
import time:       869 |        869 |             urllib3.util.retry
import time:      5119 |       5119 |               urllib3.util.url
import time:       617 |        617 |               urllib3.util.ssltransport
import time:       626 |       6361 |             urllib3.util.ssl_
import time:       419 |        419 |             urllib3.util.wait
import time:       582 |      13628 |           urllib3.util
import time:       221 |      13848 |         urllib3.util.connection
import time:      1062 |      14910 |       urllib3._base_connection
import time:       929 |        929 |       urllib3._collections
import time:       379 |        379 |       urllib3._version
import time:       442 |        442 |             urllib3.fields
import time:       424 |        866 |           urllib3.filepost
import time:       415 |        415 |             brotlicffi
import time:       299 |        299 |             brotli
import time:       501 |        501 |                       zipfile._path.glob
